KEY,NOTES,ENGLISH

ACTION.DRINK_FROM_RIVER,,from river
ACTION.JOB.BUTCHER_CREATURE,,Butchering
ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}}
ACTION.JOB.CONSTRUCT_FLOORING,,Laying floor
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}}
ACTION.JOB.CONSTRUCT_MECHANISM,,Placing mechanisms
ACTION.JOB.CONSTRUCT_PIPING,,Placing pipe
ACTION.JOB.CONSTRUCT_ROOFING,,Constructing roof
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}}
ACTION.JOB.DECONSTRUCT_MECHANISM,,Removing mechanism
ACTION.JOB.DECONSTRUCT_PIPING,,Removing pipe
ACTION.JOB.DECONSTRUCT_ROOFING,,Removing roof
ACTION.JOB.DIGGING,,Digging {{targetDescription}}
ACTION.JOB.DUMP_LIQUID_FROM_CONTAINER,For emptying the liquid contents out of a container,Emptying out contents of {{targetDescription}}
ACTION.JOB.EXTINGUISH_FLAMES,,Putting out a fire
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}}
ACTION.JOB.FISHING,,Fishing
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}}
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious
ACTION.MALTING.VERB,,Malting
ACTION.PREPARATION.VERB,,Preparing
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}}
ACTION.STUNNED,,Stunned

ARMOUR.LEATHER,,Leather armour
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat
ARMOUR.PLATE,,Plate armour
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat
ARMOUR.ORC.HEAVY,,Orc armour
ARMOUR.ORC.LIGHT,,Leather orc armour

ASHES.NOUN,,Ash

BODY_STRUCTURE.ABDOMEN,,Abdomen
BODY_STRUCTURE.ARM,,Arm
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right
BODY_STRUCTURE.FOOT,,Foot
BODY_STRUCTURE.HAND,,Hand
BODY_STRUCTURE.HEAD,,Head
BODY_STRUCTURE.HOOF,,Hoof
BODY_STRUCTURE.LEFT-ARM,,Left arm
BODY_STRUCTURE.LEFT-HAND,,Left hand
BODY_STRUCTURE.LEG,,Leg
BODY_STRUCTURE.TRUNK,,Trunk
BODY_STRUCTURE.ORGAN.BRAIN,,Brain
BODY_STRUCTURE.ORGAN.EYE,,Eye
BODY_STRUCTURE.ORGAN.HEART,,Heart
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney
BODY_STRUCTURE.ORGAN.LUNG,,Lung
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to
BODY_STRUCTURE.PAW,,Paw
BODY_STRUCTURE.RIGHT-ARM,,Right arm
BODY_STRUCTURE.RIGHT-HAND,,Right hand
BODY_STRUCTURE.TORSO,,Chest
BODY_STRUCTURE.TRUNK,,Trunk

BONE.BONE,,Bone

CARCASS.CARP.PREPARED.NOUN,,Carp fillet
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets
CARCASS.GROUP,,Corpses
CARCASS.HIDE,,Hide
CARCASS.MEAT.LARGE,,Meat (large)
CARCASS.MEAT.MEDIUM,,Meat (medium)
CARCASS.MEAT.SMALL,,Meat (small)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets

CLOTH.BRONZED_HEMP,,Hemp
CLOTH.HEMP-LINEN,,Hemp
CLOTH.LIGHT_HEMP,,Hemp
CLOTH.TOBACCO_CLOTH,,Tobacco cloth

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat
COMBAT.DESCRIPTION.GENERIC,,In combat
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting
CRAFTING_TYPE.CARPENTRY,,Carpentry
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking
CRAFTING_TYPE.FERMENTING,,Fermenting
CRAFTING_TYPE.FLETCHING,,Fletching
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking
CRAFTING_TYPE.MALTING,,Malting
CRAFTING_TYPE.MALT_MASHING,,Malt mashing
CRAFTING_TYPE.MILLING,,Milling
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing
CRAFTING_TYPE.SMELTING,,Smelting
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning
CRAFTING_TYPE.WEAVING,,Weaving
CRAFTING_TYPE.WOODCUTTING,,Woodcutting
CRAFTING_TYPE.WORT_BREWING,,Brewing

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded
CREATURE.STATUS.DEAD,,Dead

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!
CROP.DESCRIPTION,,{{materialType.noun}} plant
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.
